SEGID,SURVEY,QNAME,FIPS
T140G09003524700,ACS2015_5yr,"Census Tract 5247, Hartford County, Connecticut","09003524700"
T140G09003504500,ACS2015_5yr,"Census Tract 5045, Hartford County, Connecticut","09003504500"
T140G09003504800,ACS2015_5yr,"Census Tract 5048, Hartford County, Connecticut","09003504800"
T140G09003502300,ACS2015_5yr,"Census Tract 5023, Hartford County, Connecticut","09003502300"
T140G09003502600,ACS2015_5yr,"Census Tract 5026, Hartford County, Connecticut","09003502600"
T140G09003502500,ACS2015_5yr,"Census Tract 5025, Hartford County, Connecticut","09003502500"
T140G09003502400,ACS2015_5yr,"Census Tract 5024, Hartford County, Connecticut","09003502400"
T140G09003500100,ACS2015_5yr,"Census Tract 5001, Hartford County, Connecticut","09003500100"
T140G09003500200,ACS2015_5yr,"Census Tract 5002, Hartford County, Connecticut","09003500200"
T140G09003502700,ACS2015_5yr,"Census Tract 5027, Hartford County, Connecticut","09003502700"
T140G09003502800,ACS2015_5yr,"Census Tract 5028, Hartford County, Connecticut","09003502800"
T140G09003500300,ACS2015_5yr,"Census Tract 5003, Hartford County, Connecticut","09003500300"
T140G09003500400,ACS2015_5yr,"Census Tract 5004, Hartford County, Connecticut","09003500400"
T140G09003500500,ACS2015_5yr,"Census Tract 5005, Hartford County, Connecticut","09003500500"
T140G09003502100,ACS2015_5yr,"Census Tract 5021, Hartford County, Connecticut","09003502100"
T140G09003500700,ACS2015_5yr,"Census Tract 5007, Hartford County, Connecticut","09003500700"
T140G09003500900,ACS2015_5yr,"Census Tract 5009, Hartford County, Connecticut","09003500900"
T140G09003524400,ACS2015_5yr,"Census Tract 5244, Hartford County, Connecticut","09003524400"
T140G09003501200,ACS2015_5yr,"Census Tract 5012, Hartford County, Connecticut","09003501200"
T140G09003501300,ACS2015_5yr,"Census Tract 5013, Hartford County, Connecticut","09003501300"
T140G09003501500,ACS2015_5yr,"Census Tract 5015, Hartford County, Connecticut","09003501500"
T140G09003504000,ACS2015_5yr,"Census Tract 5040, Hartford County, Connecticut","09003504000"
T140G09003503900,ACS2015_5yr,"Census Tract 5039, Hartford County, Connecticut","09003503900"
T140G09003503800,ACS2015_5yr,"Census Tract 5038, Hartford County, Connecticut","09003503800"
T140G09003524502,ACS2015_5yr,"Census Tract 5245.02, Hartford County, Connecticut","09003524502"
T140G09003501400,ACS2015_5yr,"Census Tract 5014, Hartford County, Connecticut","09003501400"
T140G09003503500,ACS2015_5yr,"Census Tract 5035, Hartford County, Connecticut","09003503500"
T140G09003503700,ACS2015_5yr,"Census Tract 5037, Hartford County, Connecticut","09003503700"
T140G09003524600,ACS2015_5yr,"Census Tract 5246, Hartford County, Connecticut","09003524600"
T140G09003501700,ACS2015_5yr,"Census Tract 5017, Hartford County, Connecticut","09003501700"
T140G09003501800,ACS2015_5yr,"Census Tract 5018, Hartford County, Connecticut","09003501800"
T140G09003503300,ACS2015_5yr,"Census Tract 5033, Hartford County, Connecticut","09003503300"
T140G09003503100,ACS2015_5yr,"Census Tract 5031, Hartford County, Connecticut","09003503100"
T140G09003504200,ACS2015_5yr,"Census Tract 5042, Hartford County, Connecticut","09003504200"
T140G09003524501,ACS2015_5yr,"Census Tract 5245.01, Hartford County, Connecticut","09003524501"
T140G09003504300,ACS2015_5yr,"Census Tract 5043, Hartford County, Connecticut","09003504300"
T140G09003504100,ACS2015_5yr,"Census Tract 5041, Hartford County, Connecticut","09003504100"
T140G09003504900,ACS2015_5yr,"Census Tract 5049, Hartford County, Connecticut","09003504900"
T140G09003502900,ACS2015_5yr,"Census Tract 5029, Hartford County, Connecticut","09003502900"
T140G09003503000,ACS2015_5yr,"Census Tract 5030, Hartford County, Connecticut","09003503000"
